head	relation	tail
MALAT1	expression association	ABCG2
Lnc34a	epigenetic regulation	MIR34A
LINC00485	ceRNA or sponge	MYC
NEAT1	expression association	HMGB1
H19	ceRNA or sponge	miR-200a
ZEB1	expression association	HOTAIR
SNHG1	ceRNA or sponge	CDC42
HOTAIR	transcriptional regulation	miR-199a-5p
RPL13AP20	ceRNA or sponge	VEGFA
SP1	expression association	LINC01232
PTCSC3	expression association	HOTAIR
THAP9-AS1	ceRNA or sponge	SGMS2
TP73-AS1	interact with protein	CDKN1A
PCAT1	ceRNA or sponge	WNT1
LINC00052	ceRNA or sponge	EGFR
SNHG1	ceRNA or sponge	DNMT1
TUSC7	ceRNA or sponge	miR-10a
HOTAIR	expression association	CYCS
LINC00460	epigenetic regulation	CCNG2
TP73-AS1	ceRNA or sponge	TWIST1
CYTOR	interact with protein	EZH2
DNM3OS	ceRNA or sponge	MAP3K3
ASLNCS5088	ceRNA or sponge	GLS
H19	expression association	IGF2BP3
LINC01089	ceRNA or sponge	HPDG
XIST	ceRNA or sponge	CDK6
LINC00174	ceRNA or sponge	SLC2A1
TUG1	ceRNA or sponge	ROCK1
NEAT1	ceRNA or sponge	SLC26A2
XIST	ceRNA or sponge	PIK3CA
MALAT1	ceRNA or sponge	ST8SIA4
FLVCR1-DT	ceRNA or sponge	miR-30b-3p
TUG1	ceRNA or sponge	miR-26a
FOXD2-AS1	ceRNA or sponge	HMGA2
TUSC7	ceRNA or sponge	MIR211
AGAP2-AS1	ceRNA or sponge	CFL1
IGF2-AS	ceRNA or sponge	CREB1
MEG3	ceRNA or sponge	AIFM2
HOTAIR	ceRNA or sponge	glutaminase
SP3	transcriptional regulation	MALAT1
EPIC1	epigenetic regulation	MEF2D
TUG1	expression association	miR-223
DANCR	ceRNA or sponge	XBP1s
EPIC1	expression association	Cyclin D
miR-141-3p	expression association	ATB
HOXA11-AS	ceRNA or sponge	RAB3D
SNHG4	ceRNA or sponge	miR-224-3p
LOC401317	expression association	CASP3
MROS-1	transcriptional regulation	PRUNE2
ITGB1	expression association	miR-10a
HIF1A-AS4	expression association	SOX2
CTBP1-DT	ceRNA or sponge	MAP3K3
DSCAM-AS1	ceRNA or sponge	EPS8
BCYRN1	ceRNA or sponge	TAZ
LINC00460	ceRNA or sponge	miR-338-3p
XIST	interact with protein	EZH2
TP53COR1	expression association	miR-130b
MT1DP	expression association	MT1F
NCK1-DT	ceRNA or sponge	CDK1
HNF1A-AS1	ceRNA or sponge	SIRT1
XLOC_006277	expression association	MMP9
HOTTIP	interact with protein	KDM1A
ENST00000602558.1	interact with protein	ABCG1
IDH1-AS1	interact with protein	PTBP3
CDKN2B-AS1	interact with protein	AKT1
H19	expression association	miR-675-5p
HOTTIP	ceRNA or sponge	TGFBR1
PVT1	expression association	CCND1
MEG3	expression association	HEY1
NKRF	ceRNA or sponge	RIPK1
Lnc-Myd88	epigenetic regulation	MYD88
HULC	expression association	CDKN1A
CASC2	ceRNA or sponge	miR-214
GAPLINC	ceRNA or sponge	EEF2K
MIR22HG	transcriptional regulation	PTK2
LOC100129148	ceRNA or sponge	KLF12
ZFAS1	ceRNA or sponge	ZEB1
MIR31HG	transcriptional regulation	LBH
TP73-AS1	ceRNA or sponge	MMP14
TUG1	ceRNA or sponge	MMP2
XIST	ceRNA or sponge	PAPPA
MT1DP	expression association	miR-365
CDKN2B-AS1	expression association	MET
LINC01198	transcriptional regulation	PTEN
LINC00958	ceRNA or sponge	RRM2
MIAT	expression association	MYCN
AK002107	ceRNA or sponge	TGFBR1
TPT1-AS1	ceRNA or sponge	CERNA2
Rg3	transcriptional regulation	H19
NEAT1	expression association	MUC5AC
CDKN2B-AS1	ceRNA or sponge	HMGA2
GAS5	ceRNA or sponge	APOBEC3C
TCAM1P-004	interact with protein	IGF2BP1
LIFR-AS1	ceRNA or sponge	NFIA
NBAT1	expression association	PTEN
CCAT1	ceRNA or sponge	WNT1
CYTOR	ceRNA or sponge	SERPINE1
RP11	ceRNA or sponge	miR-29a
LINC01116	expression association	Caspase3
LINC00467	expression association	TRAF5
LERFS	transcriptional regulation	CDC42
TGFB1	expression association	LNCRNA-ATB
PVT1	expression association	SP1
HOXC13-AS	ceRNA or sponge	PTEN
HAGLR	ceRNA or sponge	LDHA
LINC00673	epigenetic regulation	NCALD
EGR1	transcriptional regulation	HNF1A-AS1
circRNA_000543	ceRNA or sponge	PDGFRB
H19	epigenetic regulation	PMAIP1
NKILA	expression association	BCL2
GATA3-AS1	expression association	TP53
SNHG6	expression association	MMP9
FTX	ceRNA or sponge	MTDH
LINC00511	ceRNA or sponge	PKM
SNHG18	expression association	N-cadherin
NEAT1	ceRNA or sponge	miR-107
SAP30-2:1	expression association	HAND2
H19	expression association	ABCG2
ECRG4	expression association	MMP9
KCNQ1OT1	expression association	SMAD4
LINC00473	ceRNA or sponge	TEAD1
TUG1	expression association	ANGPT1
TFAP2A	transcriptional regulation	LINC00511
SP1	transcriptional regulation	SNHG1
TP53	interact with protein	MALAT1
CBR3-AS1	ceRNA or sponge	AR
MIR100HG	epigenetic regulation	LATS2
BCAR4	expression association	CDH1
LINC01232	expression association	TM9SF2
LINC00473	expression association	STK11
UCA1	ceRNA or sponge	miR-143
UCA1	ceRNA or sponge	miR-18a
HCP5	ceRNA or sponge	HMGA2
MINCR	expression association	AURKB
ELK1	transcriptional regulation	SNHG7
LNCNEF	expression association	miRNA-155
TOB1-AS1	ceRNA or sponge	COG7
NXF1	expression association	VESTAR
HOTTIP	expression association	PCNA
UC.134	expression association	YAP1
DUXAP10	expression association	vimentin
DGCR5	expression association	BIRC5
MANCR	ceRNA or sponge	RUNX2
LINC01436	ceRNA or sponge	FBOX11
LINC00460	ceRNA or sponge	KDM2A
LIN28B	ceRNA or sponge	MYC
LINC00460	transcriptional regulation	WWC2
RP11-468E2.5	expression association	CCND1
SLCO4A1-AS1	ceRNA or sponge	PARD3
ZFAS1	ceRNA or sponge	CDK1
OIP5-AS1	ceRNA or sponge	miR-26a-5p
LINC00173	ceRNA or sponge	miR-490-3p
GAS5	expression association	MTOR
HOXC-AS2	ceRNA or sponge	ZEB1
HOTAIR	expression association	CCNE1
HOTAIR	expression association	FOXM1
DANCR	ceRNA or sponge	JAK2
HCP5	ceRNA or sponge	PFN1
LINC-ROR	expression association	TWIST1
YY1	transcriptional regulation	PVT1
NKRF	ceRNA or sponge	RIPK3
LNCRNA-ATB	ceRNA or sponge	YAP1
TDRG1	ceRNA or sponge	KLF5
NORAD	ceRNA or sponge	FOXO6
SNHG3	ceRNA or sponge	ERG
MIAT	ceRNA or sponge	LASP1
THAP9-AS1	ceRNA or sponge	SOX4
NBR2	expression association	HEY1
LIN28A	expression association	SNHG14
TP53TG1	interact with protein	YBX1
LINC01116	ceRNA or sponge	PTEN
SLEAR	expression association	TAF15
FTX	ceRNA or sponge	SIVA1
TUG1	ceRNA or sponge	FASLG
DLEU1	ceRNA or sponge	miR-146b-5p
HOTTIP	expression association	CDK2
LUADT1	interact with protein	SUZ12
MALAT1	transcriptional regulation	CD36
LINC00261	epigenetic regulation	DPYD
CHRF	ceRNA or sponge	MIR211
XIST	expression association	YY1AP1
circPVT1	ceRNA or sponge	E2F2
NEAT1	expression association	BCL2
CASC9	ceRNA or sponge	STAT3
LINC01535	ceRNA or sponge	EZH2
Hmrhl	expression association	TP53
MCF2L-AS1	expression association	miR-873-5p
ELF3-AS1	interact with protein	KLF8
XIC	expression association	FASLG
LINC00958	transcriptional regulation	MYC
HOTTIP	expression association	miR-490-3p
MIR17HG	ceRNA or sponge	RELA
H19	expression association	CUL4A
FBXL19-AS1	ceRNA or sponge	PIN1
NEAT1	ceRNA or sponge	miR-29a-3p
JUN	transcriptional regulation	LINC01419
FOXD2-AS1	expression association	miR-143
TUG1	expression association	RFX7
RHPN1-AS1	ceRNA or sponge	SNAI2
LINC-PINT	ceRNA or sponge	PDCD4
ASB16-AS1	ceRNA or sponge	TEAD1
DNM3OS	ceRNA or sponge	IGF1
MEG3	expression association	PIK3CA
TTN-AS1	ceRNA or sponge	miR-4677-3p
miR-370-3p	transcriptional regulation	NEAT1
HOXA11-AS	epigenetic regulation	RND3
HULC	expression association	Cyclin D1
CHROMR	expression association	miR-27b
SNHG6	ceRNA or sponge	CDYL
PTTG3P	expression association	E-cadherin
PDCD4-AS1	interact with mRNA	PDCD4
NEAT1	ceRNA or sponge	miR-34a-5p
PVT1	epigenetic regulation	BNIP3
LATS2-AS1-001	interact with protein	LATS2
GAS5	ceRNA or sponge	SKP2
RP11-732M18.3	interact with protein	14-3-3alpha
H19	expression association	RUNX1
PI3K	expression association	GAS5
MTOR	expression association	GAS5
ZEB1-AS1	expression association	CCND1
CDKN2B-AS1	expression association	CASP9
HOTTIP	interact with mRNA	BABAM2
OIP5-AS1	expression association	YAP1
LOXL1-AS1	expression association	Cyclin D1
SNHG6	ceRNA or sponge	miR-101-3p
AGAP2-AS1	epigenetic regulation	CDKN1A
PVT1	epigenetic regulation	CDKN2A
MALAT1	ceRNA or sponge	PPP1R13L
ROR1-AS1	ceRNA or sponge	MIR4686
OIP5-AS1	ceRNA or sponge	AGR2
MALAT1	ceRNA or sponge	GLI2
ENST00113	expression association	AKT1
LINC00460	ceRNA or sponge	FOXA1
CDKN2B-AS1	interact with protein	CBX7
PABPC1	interact with mRNA	BDNF-AS
MYC	expression association	H19
HCP5	expression association	PTEN
HNF1A-AS1	expression association	HES1
XLOC_001659	ceRNA or sponge	PIK3CA
TUSC8	ceRNA or sponge	EHD2
HCG11	transcriptional regulation	IGF2BP2
ZEB1-AS1	expression association	MMP2
CCAT1	ceRNA or sponge	CDK1
KTN1-AS1	ceRNA or sponge	ERBIN
SNHG5	ceRNA or sponge	miR-26a-5p
PCBP2-OT1	expression association	CDH2
MIR22HG	transcriptional regulation	MYC
E2F1	transcriptional regulation	SNHG1
HULC	ceRNA or sponge	MET
NEAT1	expression association	IL6
LINC00472	ceRNA or sponge	PDCD4
FUNDC2P4	expression association	CDH1
LINC00472	ceRNA or sponge	JP2
HULC	ceRNA or sponge	miR-122
BANCR	epigenetic regulation	TSHR
CASC2	expression association	BCL2
LOC90784	expression association	BAX
SNHG1	ceRNA or sponge	ROCK1
DUXAP9	epigenetic regulation	IGF2BP2
MALAT1	ceRNA or sponge	SOX4
lncOGFRP1	expression association	SNAI1
MEG3	ceRNA or sponge	ERP29
SLCO4A1-AS1	interact with protein	CTNNB1
YAP1	expression association	LATS2-AS1-001
SPRY4-IT1	expression association	WNT5B
STAT3	transcriptional regulation	HAGLROS
MYC	transcriptional regulation	PVT1
BCAR4	epigenetic regulation	GLI2
COMETT	expression association	CCNE1
SMAD5-AS1	ceRNA or sponge	SMAD5
TOB1-AS1	ceRNA or sponge	NEU1
CDKN2B-AS1	ceRNA or sponge	CCND1
LINC00460	expression association	Ki67
H19	expression association	CBL
CCAT1	expression association	RUNX2
LUCAT1	expression association	CDK4
LINC00470	interact with protein	PTEN
SYNE3	expression association	BAX
XIST	ceRNA or sponge	NOD2
XIST	ceRNA or sponge	MACC1
TP53COR1	transcriptional regulation	STAT3
CASC15	expression association	CTNNB1
miR-194-5p	epigenetic regulation	NEAT1
RP11-476D10.1	ceRNA or sponge	MAP1LC3B
UCA1	ceRNA or sponge	FGFR1
FENDRR	expression association	FN1
XIST	ceRNA or sponge	ADAM17
LINC-ROR	ceRNA or sponge	FGF2
MIR503HG	ceRNA or sponge	PDCD4
MIR155HG	ceRNA or sponge	ANXA2
UCA1	expression association	MTOR
RUSC1-AS1	expression association	KLF2
FALEC	interact with protein	PDK1
FTH1P3	ceRNA or sponge	miR-145
PCDHB17P	ceRNA or sponge	MELK
SNHG5	expression association	FOXF2
SNHG17	ceRNA or sponge	ZEB2
NEAT1	expression association	CSF2
HULC	ceRNA or sponge	PTEN
LINC00473	ceRNA or sponge	CD274
DUXAP10	expression association	Cyclin D
PACERR	expression association	HOTAIR
RP11-552M11.4	interact with mRNA	BRCA2
DPP10-AS1	interact with protein	FOXM1
DUXAP8	ceRNA or sponge	IGF1R
GAPLINC	ceRNA or sponge	c-MET
DGCR5	interact with protein	EGFR
GAS5	expression association	IL18
CASC2	ceRNA or sponge	KANK1
ENST	expression association	CDC25C
TMEM238L	expression association	GSK-3beta
TUG1	expression association	CDK4
OR3A4P	expression association	SOX4
HOTAIR	expression association	FOXA1
LNCNEF	expression association	Wnt
NKILA	expression association	XIST
DLX6-AS1	ceRNA or sponge	PTEN
LNCOC1	ceRNA or sponge	miR-34a
TPTE2P1	expression association	BAD
miR-148a	epigenetic regulation	MEG3
RMRP	ceRNA or sponge	TP53
PCAT1	expression association	AKT1
DANCR	ceRNA or sponge	ROCK1
NORAD	ceRNA or sponge	JUNB
CCAT2	expression association	p70S6K1
EZH2	epigenetic regulation	NPTN-IT1
lncRNA-p3134	expression association	PI3K
DLEU1	ceRNA or sponge	CXCR4
NORAD	expression association	TGFB1
NEAT1	ceRNA or sponge	IGF2
TCF4	interact with protein	ERLR
LINC00520	ceRNA or sponge	TFAP4
XIST	ceRNA or sponge	MAPK1
HOTAIR	ceRNA or sponge	BCL2L2
OR3A4P	ceRNA or sponge	G6PD
SPRY4-IT1	ceRNA or sponge	ZEB1
LACAT1	ceRNA or sponge	miR-4301
HOTAIR	ceRNA or sponge	NOTCH1
HCP5	ceRNA or sponge	PRC1
MALAT1	ceRNA or sponge	TMX2-CTNND1
BALR-6	expression association	SP1
HOTAIR	expression association	MMP13
LUCAT1	ceRNA or sponge	MIR539
MIR4435-2HG	transcriptional regulation	MAPK
SBF2-AS1	ceRNA or sponge	ZFP91
MVIH	interact with protein	ARID1A
PVT1	ceRNA or sponge	ULK1
TUG1	ceRNA or sponge	CELF1
FEZF1-AS1	ceRNA or sponge	ITGA11
HOXB13-AS1	interact with protein	EZH2
LINC00311	ceRNA or sponge	TLR4
PCAT18	ceRNA or sponge	TP53INP1
LNCNEF	expression association	CTNNB1
LINC00461	ceRNA or sponge	DCAF11
AFAP1-AS1	expression association	RAB11A
TUG1	interact with protein	EED
H19	transcriptional regulation	TP53
LUCAT1	transcriptional regulation	UBA52
SNHG7	expression association	EZH2
METTL14	epigenetic regulation	XIST
MINCR	ceRNA or sponge	SLC7A5
LUCAT1	ceRNA or sponge	TCF7L2
BCAR4	ceRNA or sponge	TLX1
ANCR	expression association	TGFB1
PSTAR	expression association	HNRNPK
BCAR4	interact with protein	PPP1R10
HOXA11-AS	ceRNA or sponge	miR-1297
IL1R1-AS1	expression association	MYC
TUG1	expression association	p-ERK
OLA1P2	interact with protein	STAT3
LINC-PINT	ceRNA or sponge	miR-576-5p
CASC2	ceRNA or sponge	MTOR
AR	transcriptional regulation	PCAT29
NORAD	expression association	AKR1B1
SNHG5	ceRNA or sponge	CREB5
CCAT2	interact with protein	EZH2
GAS6-DT	expression association	GAS6
IRAIN	interact with protein	KDM1A
DLEU1	expression association	BAX
PVT1	ceRNA or sponge	GRB2
POU3F3	ceRNA or sponge	FOXD1
MIAT	ceRNA or sponge	miR-133a
MALAT1	epigenetic regulation	CDKN1B
SP1	epigenetic regulation	SEMA3B-AS1
DANCR	ceRNA or sponge	ATG16L1
DNMTs	epigenetic regulation	SNHG12
HOTAIR	epigenetic regulation	JAM2
CYTOR	ceRNA or sponge	PRKAA1
CASC2	ceRNA or sponge	miR-181a
CRNDE	ceRNA or sponge	miR-136
LINC00886	epigenetic regulation	VEGFA
SNHG10	transcriptional regulation	MIR3690
SNHG3	ceRNA or sponge	PSMD10
MAPKAPK5-AS1	ceRNA or sponge	YWHAH
AL163636.1	interact with protein	EGFR
HANR	interact with protein	GSK3B
LINC01088	expression association	CDKN1A
NEAT1	ceRNA or sponge	ACSL4
MEG3	ceRNA or sponge	MTSS1
MIR100HG	expression association	miR-125b-1
TUG1	ceRNA or sponge	MDM2
GAS5	ceRNA or sponge	miR-135b
WSPAR	epigenetic regulation	TCF7
HOXA-AS2	expression association	miR-145-3p
VPS13B-DT	interact with mRNA	IL11
DDX11	ceRNA or sponge	ZEB2
CRNDE	ceRNA or sponge	RAP1A
H19	interact with protein	PTBP1
TFDP1	expression association	CXCR1
COL1A1	expression association	HOTAIR
ZEB2-AS1	transcriptional regulation	EZH2
ZEB2-AS1	ceRNA or sponge	CRKL
H19	interact with protein	ISM1
SBF2-AS1	interact with protein	SUZ12
SNHG5	ceRNA or sponge	RUNX3
KLF3-AS1	ceRNA or sponge	GIT1
PPP1R13B-DT	transcriptional regulation	HIF1A
HOTAIR	interact with protein	HELLS
GAS5	ceRNA or sponge	FOXO1
FAM83A-AS1	interact with protein	NOP58
lncRNA-CTS	ceRNA or sponge	ZEB2
LINC01503	interact with protein	PA2G4
PCGEM1	expression association	SNAI1
KMT2C	transcriptional regulation	HOTAIR
SND1-IT1	ceRNA or sponge	POU2F1
SNHG7	ceRNA or sponge	GLI3
SNHG1	transcriptional regulation	MYC
miR-192	ceRNA or sponge	HOTTIP
NOTCH1	transcriptional regulation	TUG1
MIAT	expression association	POU5F1
AB073614	expression association	AKT1
HOXA11-AS	ceRNA or sponge	SP1
PVT1	ceRNA or sponge	c-MET
HOTAIR	epigenetic regulation	CHUK
YAP1	expression association	H19
MIR22HG	ceRNA or sponge	CDKN1B
PCAT1	ceRNA or sponge	WNT10B
NEAT1	ceRNA or sponge	BMP1
EZH2	epigenetic regulation	TCAM1P-004
PEG10	expression association	MMP2
MYC	transcriptional regulation	SNHG11
MEG3	ceRNA or sponge	QKI-5
TSIX	ceRNA or sponge	RAD51
GATA2-AS1	interact with protein	GATA1
HOTAIR	epigenetic regulation	PRG1
LINC00163	ceRNA or sponge	AKAP12
DLX6-AS1	ceRNA or sponge	miR-199a
H19	expression association	miR-17-5p
LINC00473	interact with mRNA	ILF2
SMILR	expression association	HAS2
DGCR5	expression association	CTNNB1
AK094457	expression association	p-eNOS
CDKN2B-AS1	expression association	BCL2
LINC01433	ceRNA or sponge	MYC
LINC01133	ceRNA or sponge	ANXA2
PRAL	interact with protein	TP53
HOXC-AS3	expression association	SOS1
GAS6-DT	ceRNA or sponge	FUT4
OIP5-AS1	ceRNA or sponge	FOXM1
ZBTB40-IT1	interact with protein	SP7
SNHG14	ceRNA or sponge	YWHAZ
TTN-AS1	ceRNA or sponge	SNAI1
PCBP2-OT1	transcriptional regulation	CDKN1A
HOXA-AS2	ceRNA or sponge	CDK8
SNHG12	ceRNA or sponge	E2F1
SNHG7	ceRNA or sponge	miR-5059
PTENP1	ceRNA or sponge	PTEN
RMRP	expression association	KRAS
MALAT1	epigenetic regulation	PDX1
LINC00702	ceRNA or sponge	ZEB1
LEF1-AS1	ceRNA or sponge	WNK1
MEG3	ceRNA or sponge	HDAC7
HOTAIR	epigenetic regulation	miR-663b
LIFR-AS1	ceRNA or sponge	COL1A2
SNHG6	ceRNA or sponge	miR-181a-5p
CASC15	expression association	miR-33a-5p
ACTA2-AS1	interact with protein	EP300
LINC00858	ceRNA or sponge	YWHAZ
GRASLND	ceRNA or sponge	LOX
SP1	transcriptional regulation	LINC01234
RPPH1	expression association	BCL2
HOTTIP	ceRNA or sponge	HMGA2
HOTAIR	epigenetic regulation	HOXA5
FTX	expression association	PPARG
CASC11	interact with protein	MYC
SNHG1	expression association	miR-377-3p
lnc-bc060912	interact with protein	PARP1
miR-425-5p	interact with protein	TUG1
HOXA11-AS	ceRNA or sponge	STAT3
CDKN2B-AS1	ceRNA or sponge	miR-411-3p
NEAT1	ceRNA or sponge	miR-153-3p
CDKN2B-AS1	expression association	CARD8
MALAT1	ceRNA or sponge	miR-20b-5p
CASC2	ceRNA or sponge	miR<U+2011>155
HCG11	ceRNA or sponge	PDK4
ENST	expression association	p-PI3K
SNHG7	ceRNA or sponge	miR-324-3p
BCAR4	expression association	EGFR
CASC9	ceRNA or sponge	LIN7A
SNHG6	ceRNA or sponge	BMPR1B
NEAT1	expression association	miR-335-5p
GAS5	expression association	N-cadherin
TINCR	ceRNA or sponge	SNAI1
UCA1	expression association	AKT1
GAS5	transcriptional regulation	TBX21
GAS5	ceRNA or sponge	miR-23a
HOTAIR	ceRNA or sponge	miR-130a
NMRAL2P	expression association	VIM
CYTOR	expression association	FOXM1
STAT3	transcriptional regulation	MIR155HG
NEAT1	expression association	ARNTL
UCA1	ceRNA or sponge	FOXM1
GASAL1	expression association	E2F1
EZH2	expression association	HOTAIR
SNHG1	ceRNA or sponge	GSK3B
Uc003xsl.1	expression association	CXCL8
AFAP1-AS1	transcriptional regulation	KAT2B
MIAT	ceRNA or sponge	ZEB1
NORAD	ceRNA or sponge	ZEB1
LINC01605	ceRNA or sponge	miR-493-3p
MALAT1	ceRNA or sponge	ET-1
H19	epigenetic regulation	MED12/HMGA2
snaR	expression association	GAB2
STXBP5-AS1	ceRNA or sponge	PTEN
SNHG20	ceRNA or sponge	RUNX2
BANCR	expression association	BAX
LUCAT1	expression association	miR-199b-5p
H19	ceRNA or sponge	IL2
SNHG6	expression association	Caspase3
MNX1-AS1	ceRNA or sponge	SEC61A1
RP11-84C13.1	ceRNA or sponge	RUNX2
CDKN2B-AS1	expression association	KLF13
XLOC_006753	expression association	PIK3CA
SNHG1	ceRNA or sponge	NOB1
SNHG12	expression association	miR-181a
HOTTIP	interact with mRNA	WDR5
GAS5	ceRNA or sponge	CDKN2B
AFAP1-AS1	ceRNA or sponge	miR-512-3p
SNHG16	ceRNA or sponge	CCL2
MIR4435-2HG	interact with protein	DSP
LOC146880	ceRNA or sponge	FSCN1
LINC-ROR	expression association	TP53
H19	ceRNA or sponge	miR-106a-5p
FAM99A	ceRNA or sponge	YAP1
LINC01410	ceRNA or sponge	CHD7
HOXA11-AS	expression association	CTNNB1
C2dat1	ceRNA or sponge	SIRT1
PCED1B-AS1	ceRNA or sponge	PDCD1LG2
SPRY4-IT1	ceRNA or sponge	EZH2
LINC00460	ceRNA or sponge	EGFR
RTL1	interact with protein	TP53
CACS15	expression association	MEG3
lncRNA1403	expression association	IL1B
E2F	transcriptional regulation	LAPAS1
TUG1	expression association	PRKAA2
AOC4P	expression association	MMP2
RP11-317J10.2	expression association	CCND1
RP11-86H7.1	ceRNA or sponge	NFKB1
CDKN2B-AS1	expression association	CTNNB1
NEAT1	ceRNA or sponge	miR-324-3p
PVT1	ceRNA or sponge	KLF5
CASC9	expression association	AKT1
LINC01118	ceRNA or sponge	miR-134
UCA1	ceRNA or sponge	SP3
GAS5	ceRNA or sponge	miR-301a
MEG3	transcriptional regulation	BCL2L1
NEAT1	ceRNA or sponge	miR-506-3p
LINC00460	interact with protein	ERG
DLEU2	expression association	miR-15a-5p
HIF1A-AS2	expression association	NANOG
LncHDAC2	transcriptional regulation	PTCH1
CRNDE	ceRNA or sponge	CTNNB1
UCA1	interact with protein	HNRNPA2B1
NEAT1	ceRNA or sponge	USF1
TP53	transcriptional regulation	TUSC7
MYC	transcriptional regulation	TINCR
PEG10	ceRNA or sponge	miR-33a
KLF8	transcriptional regulation	ELF3-AS1
IQANK1	ceRNA or sponge	MEF2D
HCP5	interact with protein	YBX1
TUSC8	ceRNA or sponge	PTEN
TP53	interact with protein	TP53COR1
FALEC	chromatin looping	ECM1
BLACAT1	interact with mRNA	TIMM8A
ILF3-DT	ceRNA or sponge	IL6
CCAT2	ceRNA or sponge	IGF2BP2
STAT3	transcriptional regulation	ABHD11-AS1
miR-140-3p	ceRNA or sponge	TRPM2-AS
SNHG20	ceRNA or sponge	MDM2
MALAT1	expression association	CTHRC1
miR-141	expression association	H19
LINC00460	ceRNA or sponge	SPHK2
LINC01354	transcriptional regulation	integrinbeta1
ZFAS1	expression association	NKD2
TRPM2-AS	ceRNA or sponge	HMGA1
PDPK2P	expression association	PDK1
LINC02023	transcriptional regulation	PTEN
SLCO4A1-AS1	expression association	MAPK
TUG1	ceRNA or sponge	miR-145
LNCARSR	ceRNA or sponge	AXL
ITCH	expression association	HULC
MELTF	expression association	BAX
GAS5	ceRNA or sponge	HOXA5
NORAD	expression association	K17
HAGLROS	expression association	SCD1
TP53COR1	expression association	CLU
lnc-BMP1-1	expression association	CAV1
CRNDE	expression association	AKT1
LOC100507144	expression association	SOX2
NEAT1	expression association	NLRP3
TP53	transcriptional regulation	HOTAIR
PVT1	epigenetic regulation	ANGPTL4
HOTAIR	expression association	VEGFA
ACTA2-AS1	expression association	MAPK
SNHG1	expression association	ZEB1
PTENP1	ceRNA or sponge	TSC1
LINC00858	ceRNA or sponge	MMP2
SNHG4	transcriptional regulation	METTL3
MIAT	expression association	MIR1246
SNHG14	ceRNA or sponge	VAMP2
RP11-476D10.1	ceRNA or sponge	BCL2
SH3PXD2A-AS1	epigenetic regulation	CDKN1C
CDKN2B-AS1	ceRNA or sponge	MAP3K3
TP73-AS1	ceRNA or sponge	SMAD2
FOXD3-AS1	ceRNA or sponge	miR-150
LINC-ROR	ceRNA or sponge	FLNB
TP73	expression association	MIR607
CHRF	ceRNA or sponge	SOX6
HOTAIR	transcriptional regulation	TP53
HOXA-AS2	ceRNA or sponge	miR-520c-3p
FENDRR	expression association	MMP9
TTTY15	expression association	miR-455-5p
MALAT1	ceRNA or sponge	COMMD8
LEF1-AS1	expression association	CTNNB1
