Regulator	SearchregulatoryMechanism	Target
CCAT2	expression association	MYC
CCAT2	expression association	miR-17-5p
CCAT2	expression association	miR-20a-5p
CTBP1-AS	epigenetic regulation	CTBP1
DLEU2	expression association	miR-15a-5p
DLEU2	expression association	miR-16-1-3p
GAS5	expression association	SNORD50A
HULC	expression association	SNAI1
HNF1A-AS1	expression association	RRM1
HNF1A-AS1	expression association	CEACAM5
HOTAIR	interact with protein	AR
ESR1	interact with protein	HOTAIR
H19	expression association	TP53
H19	ceRNA or sponge	VIM
MEG3	interact with mRNA	RAC1
BCAR4	interact with protein	SNIP1
BCAR4	interact with protein	PPP1R10
BCAR4	epigenetic regulation	GLI2
DLEU2	expression association	MYB
PAX5	expression association	DLEU2
HOTAIR	interact with protein	SUZ12
HOTAIR	interact with protein	EED
HOTAIR	epigenetic regulation	JAM2
HOTAIR	epigenetic regulation	ABL2
HOTAIR	epigenetic regulation	SNAI1
HOTAIR	epigenetic regulation	LAMB3
HOTAIR	epigenetic regulation	LAMC2
HOTAIR	epigenetic regulation	HOXD10
HOTAIR	epigenetic regulation	PRG1
HOTAIR	epigenetic regulation	PCDH10
HOTAIR	epigenetic regulation	PCDHB5
HOTAIR	epigenetic regulation	PGR
HOTAIR	epigenetic regulation	EPHA1
PTENP1	ceRNA or sponge	ULK1
PTENP1	ceRNA or sponge	ATG7
PTENP1	ceRNA or sponge	SQSTM1
PTENP1	ceRNA or sponge	PHLPP1
HOTAIR	interact with protein	LAMTOR5
HOTAIR	interact with protein	KDM1A
HOTAIR	epigenetic regulation	CCNA2
HOTAIR	epigenetic regulation	EIF4E
HOTAIR	epigenetic regulation	LDHA
HOTAIR	epigenetic regulation	CCNA1
MALAT1	expression association	MIA2
MALAT1	expression association	ROBO1
MALAT1	expression association	GPC6
MALAT1	expression association	ADGRL2
MALAT1	expression association	CDCP1
MALAT1	expression association	ABCA1
MALAT1	expression association	DRD1
MALAT1	expression association	COL6A1
MALAT1	expression association	STC1
MALAT1	expression association	MCAM
MALAT1	expression association	PRKCE
MVIH	expression association	MMP2
MVIH	expression association	MMP9
NFE2L2	transcriptional regulation	LUCAT1
GAS6-AS1	expression association	GAS6
TARID	epigenetic regulation	TCF21
TARID	interact with protein	GADD45A
HOTAIR	ceRNA or sponge	miR-130a
MYC	transcriptional regulation	HOTAIR
HOTAIR	expression association	SUZ12
miR-141	ceRNA or sponge	HOTAIR
HOTAIR	expression association	MMP1
HOTAIR	expression association	MMP3
COL1A1	expression association	HOTAIR
KMT2A	transcriptional regulation	HOTAIR
KMT2C	transcriptional regulation	HOTAIR
CREBBP	transcriptional regulation	HOTAIR
EP300	transcriptional regulation	HOTAIR
NBR2	interact with protein	PRKAG1
NBR2	interact with protein	PRKAA1
NBR2	interact with protein	PRKAA2
NBR2	interact with protein	PRKAB1
UCA1	expression association	STAT3
UCA1	expression association	HK2
LINC00462	expression association	PI3K
LINC00462	expression association	AKT1
HULC	expression association	PI3K
HULC	expression association	AKT1
LINC00473	expression association	STK11
LINC00473	interact with protein	NONO
CDKN2B-AS1	expression association	SLC2A1
CDKN2B-AS1	expression association	LDHA
CRNDE	expression association	MTOR
LNMICC	interact with protein	NPM1
LNMICC	expression association	FABP5
miR-190	ceRNA or sponge	LNMICC
TUG1	ceRNA or sponge	SIRT3
TUG1	expression association	GLUD1
SBF2-AS1	expression association	CDKN1A
SBF2-AS1	epigenetic regulation	CDKN1A
SBF2-AS1	interact with protein	SUZ12
CASC9	epigenetic regulation	LAMC2
CASC9	interact with protein	CREBBP
LUCAT1	interact with protein	DNMT1
LINC01672	interact with protein	BPTF
LINC01672	expression association	MMP3
LINC01672	expression association	MMP10
NSUN2	epigenetic regulation	LINC01672
HOTAIR	ceRNA or sponge	HK2
TUSC7	ceRNA or sponge	TMPRSS11E
LINC01503	interact with protein	DUSP6
LINC01503	expression association	MAPK1
LINC01503	expression association	MAPK3
LINC01503	expression association	PI3K
LINC01503	interact with protein	PA2G4
EZR-AS1	interact with protein	SMYD3
EZR-AS1	epigenetic regulation	EZR
AK001796	expression association	MDM2
AK001796	expression association	TP53
CYTOR	ceRNA or sponge	EGFR
MALAT1	expression association	NOTCH1
TTN-AS1	ceRNA or sponge	SNAI1
TTN-AS1	ceRNA or sponge	FSCN1
TTN-AS1	expression association	ELAVL1
HOTTIP	interact with protein	WDR5
HNF1A-AS1	expression association	VEGFA
HNF1A-AS1	expression association	MMP9
POU6F2-AS2	interact with protein	YBX1
MALAT1	expression association	POU5F1
MALAT1	expression association	NANOG
MALAT1	epigenetic regulation	BMI1
MALAT1	interact with protein	TEAD1
MALAT1	interact with mRNA	VEGFA
MALAT1	expression association	ZEB1
MALAT1	expression association	ZEB2
MALAT1	expression association	SNAI2
MALAT1	ceRNA or sponge	RET
LINC01118	ceRNA or sponge	miR-134
LINC01118	expression association	ABCC1
PVT1	expression association	SOX2
PVT1	ceRNA or sponge	RUNX2
PVT1	interact with protein	EZH2
DANCR	expression association	IGF2
HOXA11-AS	interact with protein	EZH2
HOXA11-AS	interact with protein	KDM1A
HOXA11-AS	interact with protein	DNMT1
HOXA11-AS	ceRNA or sponge	miR-1297
H19	expression association	SNAI2
H19	expression association	let-7
H19	expression association	HMGA2
H19	expression association	IGF2BP3
H19	expression association	MYC
CDKN2B-AS1	expression association	MET
CDKN2B-AS1	expression association	MMP3
CDKN2B-AS1	interact with protein	CBX7
CDKN2B-AS1	epigenetic regulation	CDKN2A
HOXA11-AS	expression association	VEGFA
HOXA11-AS	expression association	MMP9
HOXA11-AS	expression association	CTNNB1
HOXA11-AS	expression association	CDH1
HOXA11-AS	expression association	SNAI1
HOXA11-AS	expression association	TWIST1
HOXA11-AS	expression association	VIM
MEG3	expression association	PHLPP1
MEG3	interact with protein	JUN
MEG3	expression association	HIF1A
CERNA2	expression association	HMGA2
CERNA2	expression association	DICER1
CERNA2	expression association	MYC
CERNA2	expression association	IMP3
CERNA2	ceRNA or sponge	let-7b
LSINCT5	expression association	NEAT1
LSINCT5	expression association	PSPC1
LNCOC1	ceRNA or sponge	miR-34a
LNCOC1	ceRNA or sponge	miR-34c
H19	expression association	NFE2L2
H19	expression association	NQO1
H19	expression association	GSR
H19	expression association	G6PD
H19	expression association	GCLC
H19	expression association	GCLM
H19	expression association	GSTP1
ERLNC1	expression association	MMP2
ERLNC1	expression association	MMP3
HOTAIR	expression association	BRCA1
HOTAIR	expression association	CASP9
MEG3	expression association	RB1
AB073614	expression association	AKT1
XIST	expression association	XIAP
MALAT1	expression association	AURKB
MALAT1	expression association	LAYN
MALAT1	expression association	HMMR
MALAT1	expression association	SLC26A2
MALAT1	expression association	CCT4
MALAT1	expression association	PTBP3
MALAT1	expression association	CTHRC1
MALAT1	expression association	FHL1
MALAT1	interact with protein	ELAVL1
PTEN	expression association	MALAT1
MALAT1	expression association	EPCAM
MALAT1	expression association	ITGB4
MALAT1	ceRNA or sponge	miR-375
MALAT1	expression association	CDH2
PCDH10	expression association	MALAT1
MALAT1	interact with protein	CCAR2
MALAT1	epigenetic regulation	TP53
MALAT1	expression association	HNF4G
MALAT1	expression association	IGF1R
MALAT1	expression association	miR-122
MALAT1	expression association	TIA1
MALAT1	expression association	LATS1
MALAT1	expression association	YAP1
MALAT1	interact with protein	CDH1
MALAT1	expression association	RHOA
MALAT1	ceRNA or sponge	ROCK1
MALAT1	ceRNA or sponge	ROCK2
SYK	transcriptional regulation	MALAT1
MALAT1	expression association	CCL5
MALAT1	expression association	MCL1
MALAT1	expression association	CDK6
MALAT1	epigenetic regulation	miR-29a
MALAT1	epigenetic regulation	miR-29b
HOTAIR	interact with protein	HELLS
HOTAIR	expression association	FOXA2
STAT3	transcriptional regulation	HOTAIR
HOTAIR	expression association	PHOX2A
HOTAIR	epigenetic regulation	TP53
TP53	transcriptional regulation	HOTAIR
HOTAIR	expression association	CTNNB1
HOTAIR	epigenetic regulation	CHUK
HOTAIR	epigenetic regulation	IKBKB
HOTAIR	epigenetic regulation	IKBKG
HOTAIR	expression association	CCND1
HOTAIR	expression association	STAT3
FOXC1	transcriptional regulation	HOTAIR
HOTAIR	interact with protein	PRC2
miR-34a	ceRNA or sponge	HOTAIR
HOTAIR	interact with protein	DNMT1
RHOC	transcriptional regulation	HOTAIR
MRTFA	transcriptional regulation	HOTAIR
HOTAIR	ceRNA or sponge	BCL2L2
HOTAIR	expression association	miR-545
HOTAIR	expression association	EGFR
HOTAIR	epigenetic regulation	miR-218
HOTAIR	expression association	VOPP1
HOTAIR	expression association	NFKB1
HOTAIR	expression association	RPS6KB1
HOTAIR	transcriptional regulation	NFKB1
HOTAIR	expression association	IL6
HOTAIR	expression association	BAX
HOTAIR	expression association	CYCS
HOTAIR	expression association	miR-21
HOTAIR	expression association	KDM1A
HOTAIR	ceRNA or sponge	DNMT3A
HOTAIR	expression association	DNMT3B
HOTAIRM1	expression association	ITGA4
HOTAIRM1	expression association	ITGAX
LINC00673	expression association	MMP9
LINC00673	interact with protein	POU4F1
LINC00673	interact with protein	AR
TARID	interact with protein	TDG
LUNAR1	transcriptional regulation	IGF1R
NOTCH1	transcriptional regulation	LUNAR1
TP53COR1	interact with protein	HNRNPK
HOTAIR	interact with protein	SNAI1
MIAT	expression association	POU5F1
CRNDE	interact with protein	EZH2
SNHG1	interact with protein	EZH2
TUG1	interact with protein	SUZ12
LUCAT1	interact with protein	EZH2
CCAT1	interact with protein	EZH2
CCAT1	interact with protein	SUV39H1
MEG3	interact with protein	JARID2
MEG3	interact with protein	EZH2
MRCCAT1	interact with protein	EZH2
TUG1	interact with protein	EED
LINC00668	interact with protein	EZH2
LINC00668	interact with protein	SUZ12
CDKN2B-AS1	interact with protein	EZH2
CDKN2B-AS1	interact with protein	SUZ12
RASSF1-AS1	interact with protein	SUZ12
HOXA-AS2	interact with protein	EZH2
LINC00511	interact with protein	EZH2
NBAT1	interact with protein	EZH2
APTR	interact with protein	EZH2
APTR	interact with protein	SUZ12
LINC00958	interact with protein	WDR5
HOXA11-AS	interact with protein	WDR5
HOXA11-AS	interact with protein	STAU1
FOXP4-AS1	interact with protein	KDM1A
FOXP4-AS1	interact with protein	EZH2
DUXAP8	interact with protein	KDM1A
DUXAP8	interact with protein	EZH2
HOTTIP	interact with protein	KDM1A
HOTTIP	interact with protein	EZH2
FEZF1-AS1	interact with protein	KDM1A
FEZF1-AS1	interact with protein	EZH2
CYTOR	interact with protein	EZH2
AGAP2-AS1	interact with protein	KDM1A
AGAP2-AS1	interact with protein	EZH2
LINC00673	interact with protein	KDM1A
LINC01133	interact with protein	EZH2
LINC01133	interact with protein	KDM1A
LINC00673	interact with protein	EZH2
HOXA-AS2	interact with protein	KDM1A
IRAIN	interact with protein	EZH2
IRAIN	interact with protein	KDM1A
MEG3	interact with protein	DNMT1
GIHCG	interact with protein	EZH2
GIHCG	interact with protein	DNMT1
RB1-DT	interact with protein	DNMT3A
HOTAIR	ceRNA or sponge	MDM2
PANTR1	interact with protein	EZH2
HOXB13-AS1	interact with protein	EZH2
FAM83H-AS1	interact with protein	EZH2
SOX21-AS1	interact with protein	EZH2
SNHG6	interact with protein	EZH2
NEAT1	interact with protein	EZH2
HAGLR	interact with protein	EZH2
DUXAP10	interact with protein	EZH2
SH3PXD2A-AS1	interact with protein	EZH2
LNCDQ	interact with protein	EZH2
FALEC	interact with protein	EZH2
MIR31HG	interact with protein	EZH2
DANCR	interact with protein	EZH2
DANCR	interact with protein	HDAC3
ILF3-DT	interact with protein	EZH2
SNHG20	interact with protein	EZH2
TRERNA1	interact with protein	EZH2
XIST	interact with protein	EZH2
LL22NC03-N64E9.1	interact with protein	EZH2
UCA1	interact with protein	EZH2
CCAT2	interact with protein	EZH2
AWPPH	interact with protein	EZH2
HULC	interact with protein	EZH2
HNF1A-AS1	interact with protein	EZH2
BANCR	interact with protein	EZH2
TMPOP2	interact with protein	EZH2
LUADT1	interact with protein	SUZ12
HOTAIRM1	ceRNA or sponge	SP1
PVT1	ceRNA or sponge	TRAF3
MEG3	expression association	ICAM1
GAS5	transcriptional regulation	TBX21
LINC00528	ceRNA or sponge	COX2
UPF1	interact with protein	CYTOR
SNHG14	ceRNA or sponge	KRAS
ZFAS1	ceRNA or sponge	miR-193a-3p
PICSAR	ceRNA or sponge	miR-4701-5p
UCA1	ceRNA or sponge	IL6R
LUCAT1	ceRNA or sponge	MYRF
NEAT1	ceRNA or sponge	CD276
DANCR	expression association	CDH2
DANCR	expression association	CDH1
DANCR	expression association	p-p38MAPK
SNHG8	ceRNA or sponge	KPNA2
MYC	transcriptional regulation	PVT1
TP53	transcriptional regulation	PVT1
miR-214	ceRNA or sponge	PVT1
PCAT1	expression association	NEK2
HOTAIR	ceRNA or sponge	miR-130a-3p
LINC00467	ceRNA or sponge	KIF23
SOX2-OT	ceRNA or sponge	CFL2
LINC00673	ceRNA or sponge	MARK4
YY1	transcriptional regulation	LINC00673
ADAMTS9-AS2	epigenetic regulation	CDH3
LINC01342	ceRNA or sponge	HIF3A
LINC00205	ceRNA or sponge	EPHX1
ZFAS1	ceRNA or sponge	USF1
USF1	transcriptional regulation	ZFAS1
XIST	ceRNA or sponge	FGF2
LINC00473	ceRNA or sponge	HMGA2
TUG1	ceRNA or sponge	DUSP6
LINC00460	transcriptional regulation	WWC2
LINC00460	interact with protein	ERG
MEG3	ceRNA or sponge	TRAF3
DNM3OS	ceRNA or sponge	IGF1
LINC-PINT	expression association	HIF1A
DANCR	ceRNA or sponge	MMP16
LINC-PINT	ceRNA or sponge	MIR543
LINC-PINT	ceRNA or sponge	miR-576-5p
SNHG16	ceRNA or sponge	NRP1
PART1	ceRNA or sponge	JAK1
PART1	ceRNA or sponge	JAK3
KCNQ1OT1	ceRNA or sponge	BAX
LINC00665	ceRNA or sponge	MAP4K3
ZNF667-AS1	ceRNA or sponge	PEG3
PVT1	epigenetic regulation	FOXA1
MNX1-AS1	expression association	KISS1
SNHG12	ceRNA or sponge	WWP1
MEG3	ceRNA or sponge	APAF1
Mirt2	ceRNA or sponge	miR-429
Mirt2	ceRNA or sponge	miR-34a-5p
MIR22HG	ceRNA or sponge	CDKN1B
TUSC7	ceRNA or sponge	NUMB
FEZF1-AS1	expression association	OTX1
FEZF1-AS1	ceRNA or sponge	NT5E
MALAT1	ceRNA or sponge	KLF5
LINC00668	ceRNA or sponge	USP47
SNHG15	ceRNA or sponge	SIRT1
SCAMP1	ceRNA or sponge	LMX1A
LINC00184	epigenetic regulation	PTEN
LINC00261	ceRNA or sponge	SFRP2
PSTAR	expression association	HNRNPK
CPS1-IT1	ceRNA or sponge	CCN1
LINC00052	ceRNA or sponge	CALCOCO1
H19	ceRNA or sponge	ITGB3
LINC00473	ceRNA or sponge	miR-497
SBF2-AS1	ceRNA or sponge	ZFP91
SNHG16	ceRNA or sponge	TIMP3
CDKN2B-AS1	ceRNA or sponge	miR-411-3p
LINC-PINT	ceRNA or sponge	PDCD4
MALAT1	ceRNA or sponge	miR-96
miR-142-3p	ceRNA or sponge	MALAT1
CDKN2B-AS1	epigenetic regulation	ADAM10
MAGI2-AS3	ceRNA or sponge	SMG1
LINC01138	ceRNA or sponge	miR-1273e
MIR155HG	ceRNA or sponge	ANXA2
STAT3	transcriptional regulation	MIR155HG
TUG1	expression association	LRG1
TUG1	expression association	VEGFA
TUG1	expression association	TGFB1
TUG1	expression association	ANGPT1
GAS5	epigenetic regulation	COX2
LINC00261	ceRNA or sponge	TIMP4
STAT1	transcriptional regulation	SPAAR
CDR1-AS	ceRNA or sponge	CCNE1
Lnc-UCID	expression association	DHX9
Lnc-UCID	ceRNA or sponge	CDK6
MIR148A	expression association	Lnc-UCID
AB209371	ceRNA or sponge	SNAI1
MEG3	ceRNA or sponge	TNF
SPAAR	expression association	CTNNB1
CYTOR	expression association	MKI67
TUG1	ceRNA or sponge	HDAC4
SPAAR	ceRNA or sponge	CRLS1
EGR1	transcriptional regulation	H19
MALAT1	ceRNA or sponge	SLAIN2
PVT1	ceRNA or sponge	NOTCH2
FOXA2	transcriptional regulation	LINC00261
LINC00261	expression association	ATM
MALAT1	ceRNA or sponge	MAPK1
HAGLR	ceRNA or sponge	miR-204
MIAT	expression association	MIR1246
SNHG14	ceRNA or sponge	VAMP2
H19	expression association	ACP5
LINC00299	ceRNA or sponge	AURKA
TUG1	ceRNA or sponge	RGS1
LINC00052	expression association	miR-330-3p
MEG3	ceRNA or sponge	LRP6
OIP5-AS1	ceRNA or sponge	DNMT1
LOC105375913	ceRNA or sponge	SNAI1
SYNE3	ceRNA or sponge	YAF2
TP53COR1	ceRNA or sponge	alpha-synuclein
TUG1	expression association	MIR127
LINC00458	ceRNA or sponge	BMF
MEG3	expression association	NLRC5
LEF1-AS1	ceRNA or sponge	LEF1
CYTOR	ceRNA or sponge	CDK14
HOXA11-AS	ceRNA or sponge	TGFbetaR1
SNHG16	ceRNA or sponge	IGF2
LINC01605	ceRNA or sponge	miR-493-3p
MCM3AP-AS1	ceRNA or sponge	HMGB1
GAS5	expression association	ABCA1
TUG1	expression association	PTEN
NR2F1-AS1	ceRNA or sponge	FOXA1
DUXAP9	ceRNA or sponge	MIR760
CCAT2	expression association	MIR145
CCAT2	expression association	p70S6K1
CCAT2	expression association	TP53
VIM-AS1	expression association	vimentin
NEAT1	ceRNA or sponge	HMGB1
SP1	expression association	LINC01638
LncRNATCF7	ceRNA or sponge	DNMT1
XIXT	ceRNA or sponge	RUNX2
MALAT1	ceRNA or sponge	ATF4
H19	expression association	REXO2
MEG3	ceRNA or sponge	Caspase8
SNHG16	ceRNA or sponge	miR-17-5p
HOTAIR	ceRNA or sponge	TNFSF14
HOTAIR	ceRNA or sponge	PTBP1
HOTAIR	ceRNA or sponge	miR-326
MALAT1	ceRNA or sponge	ADAMTS5
TPT1-AS1	ceRNA or sponge	STMN1
LSINCT5	expression association	HMGA2
PVT1	ceRNA or sponge	SMAD3
SNHG8	ceRNA or sponge	PDGFRA
GAS5	expression association	YY1AP1
PVT1	expression association	STAT3
FOXD3-AS1	ceRNA or sponge	MAP3K2
Chaer	expression association	PRC2
GAS5	expression association	YBX1
GAS5	ceRNA or sponge	AKT1
SNHG6	expression association	miR-101-3p
FAM83A-AS1	ceRNA or sponge	MMP14
HOTAIR	ceRNA or sponge	CXCR4
AWPPH	expression association	TGFB1
H19	ceRNA or sponge	CDK6
lnc-ABCA12-3	ceRNA or sponge	FN1
LINC01116	ceRNA or sponge	PTEN
LINC01116	ceRNA or sponge	TP53
UCA1	expression association	BMP-2
NEAT1	ceRNA or sponge	CPT1A
LINC01198	expression association	PTEN
LINC00342	ceRNA or sponge	HDGF
SNHG1	ceRNA or sponge	RICTOR
DACH1	expression association	SERCA2a
GAS5	ceRNA or sponge	CALM2
SNHG16	ceRNA or sponge	ATG4B
TUG1	expression association	RFX7
HOXA11-AS	ceRNA or sponge	SMAD5
SAMD12-AS1	expression association	NPM1
CircZNF609	expression association	BAX
CircZNF609	expression association	BCL2
CircZNF609	expression association	TP53
LINC00466	ceRNA or sponge	HOXA10
MEG3	expression association	TRIB2
CDKN2B-AS1	expression association	p15
CDKN2B-AS1	expression association	p16
LINC00460	expression association	Ki67
LINC00460	expression association	Cyclin D1
NEAT1	ceRNA or sponge	TLR4
PVT1	ceRNA or sponge	VEGFA
MIR222HG	expression association	MIR221
MIR222HG	expression association	MIR222
APTR	ceRNA or sponge	miR-126
SCARNA10	expression association	PRC2
HOTAIR	ceRNA or sponge	FOXR2
MIR4435-2HG	ceRNA or sponge	MIR4288
MEG3	ceRNA or sponge	EGR1
LINC01579	ceRNA or sponge	EIF4G2
BCAR4	expression association	EGFR
TCL6	expression association	CDK2
TCL6	expression association	PTEN
SNHG8	ceRNA or sponge	MIR663A
RPL13AP20	ceRNA or sponge	KCNH1
RPL13AP20	ceRNA or sponge	VEGFA
NEAT1	expression association	STAT3
MALAT1	ceRNA or sponge	RUNX2
NEAT1	expression association	miR-27a-3p
SNHG14	ceRNA or sponge	DHX33
DANCR	expression association	TGFB1
SNHG16	ceRNA or sponge	CCL5
H19	ceRNA or sponge	PPARG
LINC00882	ceRNA or sponge	miR-3619-5p
HCP5	expression association	AP1G1
UCA1	ceRNA or sponge	CCND2
LNCRNA-ATB	ceRNA or sponge	miR-195
MALAT1	ceRNA or sponge	EZH2
LACAT1	ceRNA or sponge	miR-4301
KCNQ1OT1	ceRNA or sponge	FOXO3
AV310809	expression association	CTNNB1
NEAT1	ceRNA or sponge	SOX4
TUG1	expression association	RLIM
